Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 29 2020,Kitsap,WA,Passenger,1274,661,1935,182313,184248,1.05
February 29 2020,Kittitas,WA,Truck,0,0,0,14646,14646,0.00
February 29 2020,Klickitat,WA,Truck,0,0,0,8302,8302,0.00
June 30 2020,Manassas,VA,Passenger,0,1,1,3,4,25.00
June 30 2020,Okanogan,WA,Truck,0,0,0,16444,16444,0.00
May 31 2020,Lincoln,WA,Truck,0,0,0,4618,4618,0.00
May 31 2020,Montgomery,AL,Passenger,0,1,1,40,41,2.44
May 31 2020,Denver,CO,Passenger,1,0,1,119,120,0.83
May 31 2020,Douglas,WA,Truck,0,0,0,12277,12277,0.00
May 31 2020,DuPage,IL,Passenger,3,0,3,59,62,4.84
May 31 2020,El Paso,CO,Passenger,2,0,2,728,730,0.27
May 31 2020,El Paso,TX,Passenger,3,0,3,432,435,0.69
May 31 2020,Erie,NY,Passenger,1,0,1,44,45,2.22
May 31 2020,Garfield,WA,Truck,0,0,0,967,967,0.00
May 31 2020,Greene,MO,Passenger,0,1,1,30,31,3.23
May 31 2020,Guadalupe,TX,Passenger,1,0,1,64,65,1.54
May 31 2020,Gwinnett,GA,Passenger,1,0,1,73,74,1.35
March 31 2020,Frederick,MD,Passenger,1,1,2,80,82,2.44
March 31 2020,Grant,WA,Passenger,58,71,129,65495,65624,0.20
March 31 2020,Grant,WA,Truck,0,0,0,27059,27059,0.00
March 31 2020,Grays Harbor,WA,Truck,0,0,0,20786,20786,0.00
May 31 2020,Chesapeake,VA,Passenger,0,2,2,420,422,0.47
May 31 2020,DeKalb,GA,Passenger,1,0,1,78,79,1.27
May 31 2020,Douglas,WA,Passenger,69,40,109,27966,28075,0.39
May 31 2020,Frederick,MD,Passenger,1,1,2,76,78,2.56
May 31 2020,Grant,WA,Passenger,59,70,129,65210,65339,0.20
May 31 2020,Grays Harbor,WA,Truck,0,0,0,20770,20770,0.00
June 30 2020,Jefferson,CO,Passenger,0,1,1,60,61,1.64
June 30 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
June 30 2020,Kern,CA,Passenger,0,1,1,226,227,0.44
June 30 2020,Kitsap,WA,Truck,0,0,0,54075,54075,0.00
June 30 2020,Kittitas,WA,Truck,0,0,0,14588,14588,0.00
June 30 2020,Lewis,WA,Passenger,102,111,213,58176,58389,0.36
April 30 2020,Washtenaw,MI,Passenger,1,0,1,32,33,3.03
April 30 2020,Yakima,WA,Passenger,129,115,244,165268,165512,0.15
May 31 2020,,,Passenger,6,2,8,470,478,1.67
May 31 2020,Albemarle,VA,Passenger,1,0,1,21,22,4.55
May 31 2020,Asotin,WA,Truck,0,0,0,6584,6584,0.00
May 31 2020,Benton,WA,Passenger,354,321,675,134184,134859,0.50
May 31 2020,Jefferson,CO,Passenger,0,1,1,60,61,1.64
May 31 2020,Kitsap,WA,Truck,0,0,0,53875,53875,0.00
May 31 2020,Lake,FL,Passenger,1,0,1,19,20,5.00
June 30 2020,Salt Lake,UT,Passenger,0,1,1,190,191,0.52
June 30 2020,Tulsa,OK,Passenger,1,1,2,41,43,4.65
June 30 2020,Wahkiakum,WA,Passenger,6,6,12,2991,3003,0.40
March 31 2020,Juneau,AK,Passenger,0,2,2,31,33,6.06
March 31 2020,Lee,FL,Passenger,1,0,1,51,52,1.92
March 31 2020,Maui,HI,Passenger,1,0,1,34,35,2.86
March 31 2020,Middlesex,MA,Passenger,1,1,2,106,108,1.85
March 31 2020,New Haven,CT,Passenger,0,2,2,41,43,4.65
June 30 2020,Montgomery,TX,Passenger,1,0,1,50,51,1.96
June 30 2020,New London,CT,Passenger,1,2,3,251,254,1.18
June 30 2020,Nueces,TX,Passenger,1,0,1,83,84,1.19
June 30 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
June 30 2020,Portsmouth,VA,Passenger,0,1,1,75,76,1.32
June 30 2020,Richland,SC,Passenger,0,1,1,158,159,0.63
June 30 2020,Saginaw,MI,Passenger,1,0,1,10,11,9.09
May 31 2020,Osceola,FL,Passenger,1,0,1,39,40,2.50
May 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
May 31 2020,Palm Beach,FL,Passenger,0,1,1,76,77,1.30
May 31 2020,Penobscot,ME,Passenger,0,1,1,15,16,6.25
May 31 2020,Queens,NY,Passenger,1,0,1,51,52,1.92
May 31 2020,Richland,SC,Passenger,0,1,1,158,159,0.63
May 31 2020,Rockingham,NH,Passenger,1,0,1,27,28,3.57
May 31 2020,Rogers,OK,Passenger,1,0,1,6,7,14.29
May 31 2020,Houston,GA,Passenger,1,0,1,52,53,1.89
May 31 2020,King,WA,Passenger,24025,7682,31707,1375082,1406789,2.25
May 31 2020,Kittitas,WA,Truck,0,0,0,14551,14551,0.00
May 31 2020,San Juan,WA,Passenger,298,91,389,14061,14450,2.69
May 31 2020,Sedgwick,KS,Passenger,1,1,2,90,92,2.17
May 31 2020,St. Mary's,MD,Passenger,1,0,1,218,219,0.46
May 31 2020,Sumter,FL,Passenger,0,1,1,9,10,10.00
May 31 2020,Thurston,WA,Passenger,1136,732,1868,196847,198715,0.94
May 31 2020,Thurston,WA,Truck,0,0,0,55499,55499,0.00
February 29 2020,Middlesex,MA,Passenger,1,1,2,105,107,1.87
February 29 2020,Monroe,IL,Passenger,1,0,1,4,5,20.00
February 29 2020,Montgomery,TX,Passenger,1,0,1,52,53,1.89
February 29 2020,Moore,NC,Passenger,0,1,1,167,168,0.60
February 29 2020,New London,CT,Passenger,0,2,2,256,258,0.78
February 29 2020,Orange,CA,Passenger,7,2,9,508,517,1.74
February 29 2020,Pacific,WA,Truck,0,0,0,7744,7744,0.00
February 29 2020,Pend Oreille,WA,Truck,0,0,0,5764,5764,0.00
February 29 2020,Pima,AZ,Passenger,3,1,4,368,372,1.08
February 29 2020,Placer,CA,Passenger,2,0,2,93,95,2.11
February 29 2020,Riverside,CA,Passenger,3,1,4,643,647,0.62
February 29 2020,Saginaw,MI,Passenger,1,0,1,11,12,8.33
February 29 2020,San Juan,WA,Truck,0,0,0,5926,5926,0.00
May 31 2020,Collin,TX,Passenger,1,1,2,121,123,1.63
May 31 2020,Columbia,WA,Truck,0,0,0,1523,1523,0.00
May 31 2020,Cowlitz,WA,Truck,0,0,0,28760,28760,0.00
May 31 2020,Deschutes,OR,Passenger,3,0,3,131,134,2.24
May 31 2020,Franklin,WA,Truck,0,0,0,19870,19870,0.00
May 31 2020,Garfield,WA,Passenger,0,1,1,1348,1349,0.07
May 31 2020,Washington,OR,Passenger,1,0,1,437,438,0.23
May 31 2020,Williams,ND,Passenger,0,1,1,11,12,8.33
February 29 2020,Stafford,VA,Passenger,1,1,2,90,92,2.17
February 29 2020,Suffolk,VA,Passenger,1,0,1,121,122,0.82
February 29 2020,Valencia,NM,Passenger,1,0,1,5,6,16.67
February 29 2020,Ventura,CA,Passenger,0,3,3,301,304,0.99
May 31 2020,St. Louis,MO,Passenger,1,0,1,98,99,1.01
May 31 2020,Stevens,WA,Truck,0,0,0,18597,18597,0.00
May 31 2020,Whitman,WA,Truck,0,0,0,8515,8515,0.00
May 31 2020,Williamson,TX,Passenger,0,1,1,134,135,0.74
June 30 2020,Alexandria,VA,Passenger,1,0,1,140,141,0.71
March 31 2020,Pend Oreille,WA,Truck,0,0,0,5758,5758,0.00
March 31 2020,Placer,CA,Passenger,2,0,2,92,94,2.13
